#.t	NH4	PO4	Q	CODt	CODs	TSS
#d	g/m3	g/m3	m3/h	g/m3	g/m3	g/m3
222.21386	40.28320313	6.361	0	0	0	0
222.21733	40.29133987	6.373333333	0	0	0	0
222.2208	40.28320313	6.385666667	0	0	0	0
222.22427	40.29133987	6.398	0	0	0	0
222.22774	40.30761719	6.365	0	0	0	0
222.23122	40.30761719	6.368	0	0	0	0
222.23469	40.28320313	6.357	0	0	0	0
222.23816	46.97265625	6.394	0	0	0	0
222.24163	46.86686325	6.423	0	0	0	0
222.24511	46.85058594	6.394	0	0	0	0
222.24858	46.875	6.427	0	0	0	0
222.25205	46.875	6.4105	0	0	0	0
222.25552	46.85058594	6.394	0	0	0	0
222.25899	46.86279297	6.464	0	0	0	0
222.26247	44.60449219	6.453	0	0	0	0
222.26594	45.57291794	6.456	0	0	0	0
222.26941	45.76008987	6.445	0	0	0	0
222.27288	46.45996094	6.416	0	0	0	0
222.27636	46.63085938	6.427	0	0	0	0
222.27983	46.58203125	6.438	0	0	0	0
222.2833	46.94824219	6.434	0	0	0	0
222.28677	46.74072266	6.412	0	0	0	0
222.29024	47.02148438	6.427	0	0	0	0
222.29372	46.94824219	6.449	0	0	0	0
222.29719	46.94824219	6.482	0	0	0	0
222.30066	46.97265625	6.456	0	0	0	0
222.30413	47.04589844	6.427	0	0	0	0
222.30761	47.00927734	6.416	0	0	0	0
222.31108	47.19238281	6.398	0	0	0	0
222.31455	46.94824219	6.416	0	0	0	0
222.31802	47.09472656	6.445	0	0	0	0
222.32149	46.89941406	6.438	0	0	0	0
222.32497	46.94824219	6.478	0	0	0	0
222.32844	46.94824219	6.456	0	0	0	0
222.33191	46.77734375	6.42	0	0	0	0
222.33538	46.80786133	6.464	0	0	0	0
222.33885	46.74072266	6.508	0	0	0	0
222.34233	46.55761719	6.471	0	0	0	0
222.3458	46.11002731	6.416	0	0	0	0
222.34927	46.29719925	6.478	0	0	0	0
222.35274	46.2890625	6.493	0	0	0	0
222.35622	46.41113281	6.511	0	0	0	0
222.35969	46.26464844	6.508	0	0	0	0
222.36316	46.11816406	6.482	0	0	0	0
222.36663	46.09375	6.456	0	0	0	0
222.3701	46.25244141	6.497	0	0	0	0
222.37358	46.2890625	6.5005	0	0	0	0
222.37705	46.2890625	6.504	0	0	0	0
222.38052	46.53320313	6.423	0	0	0	0
222.38399	46.50065231	6.504	0	0	0	0
222.38747	46.58203125	6.5	0	0	0	0
222.39094	46.32568359	6.478	0	0	0	0
222.39441	46.42333984	6.504	0	0	0	0
222.39788	46.39892578	6.559	0	0	0	0
